m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","awk","2"
"2008-08-01 00:00:00","bash","21"
"2008-08-01 00:00:00","c","82"
"2008-08-01 00:00:00","c#","503"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","curl","4"
"2008-08-01 00:00:00","delphi","13"
"2008-08-01 00:00:00","fortran","1"
"2008-08-01 00:00:00","groovy","5"
"2008-08-01 00:00:00","haskell","3"
"2008-08-01 00:00:00","java","220"
"2008-08-01 00:00:00","javascript","160"
"2008-08-01 00:00:00","matlab","2"
"2008-08-01 00:00:00","objective-c","20"
"2008-08-01 00:00:00","pascal","1"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","157"
"2008-08-01 00:00:00","python","119"
"2008-08-01 00:00:00","ruby","68"
"2008-08-01 00:00:00","sql","143"
"2008-09-01 00:00:00","ada","3"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","awk","3"
"2008-09-01 00:00:00","bash","65"
"2008-09-01 00:00:00","basic","1"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1638"
"2008-09-01 00:00:00","c++","752"
"2008-09-01 00:00:00","clojure","3"
"2008-09-01 00:00:00","cobol","4"
"2008-09-01 00:00:00","curl","5"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","fortran","2"
"2008-09-01 00:00:00","groovy","15"
"2008-09-01 00:00:00","haskell","19"
"2008-09-01 00:00:00","java","1121"
"2008-09-01 00:00:00","javascript","629"
"2008-09-01 00:00:00","matlab","11"
"2008-09-01 00:00:00","objective-c","50"
"2008-09-01 00:00:00","perl","128"
"2008-09-01 00:00:00","php","472"
"2008-09-01 00:00:00","python","534"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","285"
"2008-09-01 00:00:00","scala","6"
"2008-09-01 00:00:00","sql","502"
"2008-10-01 00:00:00","ada","1"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","awk","3"
"2008-10-01 00:00:00","bash","58"
"2008-10-01 00:00:00","basic","1"
"2008-10-01 00:00:00","c","302"
"2008-10-01 00:00:00","c#","1982"
"2008-10-01 00:00:00","c++","804"
"2008-10-01 00:00:00","clojure","7"
"2008-10-01 00:00:00","cobol","3"
"2008-10-01 00:00:00","curl","11"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","fortran","3"
"2008-10-01 00:00:00","groovy","29"
"2008-10-01 00:00:00","haskell","9"
"2008-10-01 00:00:00","java","1142"
"2008-10-01 00:00:00","javascript","720"
"2008-10-01 00:00:00","matlab","21"
"2008-10-01 00:00:00","objective-c","90"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","php","603"
"2008-10-01 00:00:00","prolog","2"
"2008-10-01 00:00:00","python","504"
"2008-10-01 00:00:00","ruby","246"
"2008-10-01 00:00:00","scala","7"
"2008-10-01 00:00:00","sql","534"
"2008-11-01 00:00:00","ada","3"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","awk","10"
"2008-11-01 00:00:00","bash","41"
"2008-11-01 00:00:00","c","258"
"2008-11-01 00:00:00","c#","1728"
"2008-11-01 00:00:00","c++","733"
"2008-11-01 00:00:00","clojure","8"
"2008-11-01 00:00:00","cobol","1"
"2008-11-01 00:00:00","curl","10"
"2008-11-01 00:00:00","delphi","139"
"2008-11-01 00:00:00","fortran","4"
"2008-11-01 00:00:00","groovy","19"
"2008-11-01 00:00:00","haskell","22"
"2008-11-01 00:00:00","java","951"
"2008-11-01 00:00:00","javascript","581"
"2008-11-01 00:00:00","matlab","11"
"2008-11-01 00:00:00","objective-c","106"
"2008-11-01 00:00:00","pascal","3"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","497"
"2008-11-01 00:00:00","prolog","6"
"2008-11-01 00:00:00","python","447"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","154"
"2008-11-01 00:00:00","scala","5"
"2008-11-01 00:00:00","sql","413"
"2008-12-01 00:00:00","ada","1"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","awk","5"
"2008-12-01 00:00:00","bash","43"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1593"
"2008-12-01 00:00:00","c++","630"
"2008-12-01 00:00:00","clojure","6"
"2008-12-01 00:00:00","cobol","2"
"2008-12-01 00:00:00","curl","12"
"2008-12-01 00:00:00","delphi","133"
"2008-12-01 00:00:00","fortran","4"
"2008-12-01 00:00:00","groovy","21"
"2008-12-01 00:00:00","haskell","25"
"2008-12-01 00:00:00","java","824"
"2008-12-01 00:00:00","javascript","625"
"2008-12-01 00:00:00","matlab","13"
"2008-12-01 00:00:00","objective-c","123"
"2008-12-01 00:00:00","pascal","2"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","473"
"2008-12-01 00:00:00","prolog","3"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2008-12-01 00:00:00","scala","3"
"2008-12-01 00:00:00","sql","423"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","awk","6"
"2009-01-01 00:00:00","bash","60"
"2009-01-01 00:00:00","basic","1"
"2009-01-01 00:00:00","c","317"
"2009-01-01 00:00:00","c#","2372"
"2009-01-01 00:00:00","c++","844"
"2009-01-01 00:00:00","clojure","7"
"2009-01-01 00:00:00","curl","13"
"2009-01-01 00:00:00","delphi","163"
"2009-01-01 00:00:00","fortran","3"
"2009-01-01 00:00:00","groovy","18"
"2009-01-01 00:00:00","haskell","22"
"2009-01-01 00:00:00","java","1141"
"2009-01-01 00:00:00","javascript","787"
"2009-01-01 00:00:00","matlab","19"
"2009-01-01 00:00:00","objective-c","143"
"2009-01-01 00:00:00","pascal","5"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","php","625"
"2009-01-01 00:00:00","prolog","2"
"2009-01-01 00:00:00","python","630"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","scala","12"
"2009-01-01 00:00:00","sql","584"
"2009-02-01 00:00:00","ada","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","awk","11"
"2009-02-01 00:00:00","bash","78"
"2009-02-01 00:00:00","basic","1"
"2009-02-01 00:00:00","c","332"
"2009-02-01 00:00:00","c#","2595"
"2009-02-01 00:00:00","c++","841"
"2009-02-01 00:00:00","clojure","8"
"2009-02-01 00:00:00","cobol","5"
"2009-02-01 00:00:00","curl","18"
"2009-02-01 00:00:00","delphi","165"
"2009-02-01 00:00:00","fortran","5"
"2009-02-01 00:00:00","groovy","20"
"2009-02-01 00:00:00","haskell","9"
"2009-02-01 00:00:00","java","1200"
"2009-02-01 00:00:00","javascript","944"
"2009-02-01 00:00:00","matlab","27"
"2009-02-01 00:00:00","objective-c","210"
"2009-02-01 00:00:00","pascal","2"
"2009-02-01 00:00:00","perl","163"
"2009-02-01 00:00:00","php","751"
"2009-02-01 00:00:00","prolog","1"
"2009-02-01 00:00:00","python","629"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","scala","12"
"2009-02-01 00:00:00","sql","671"
"2009-03-01 00:00:00","ada","5"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","awk","19"
"2009-03-01 00:00:00","bash","100"
"2009-03-01 00:00:00","c","429"
"2009-03-01 00:00:00","c#","3155"
"2009-03-01 00:00:00","c++","1043"
"2009-03-01 00:00:00","clojure","11"
"2009-03-01 00:00:00","cobol","10"
"2009-03-01 00:00:00","curl","13"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","fortran","8"
"2009-03-01 00:00:00","groovy","30"
"2009-03-01 00:00:00","haskell","18"
"2009-03-01 00:00:00","java","1424"
"2009-03-01 00:00:00","javascript","1006"
"2009-03-01 00:00:00","matlab","23"
"2009-03-01 00:00:00","objective-c","291"
"2009-03-01 00:00:00","pascal","5"
"2009-03-01 00:00:00","perl","136"
"2009-03-01 00:00:00","php","890"
"2009-03-01 00:00:00","prolog","7"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","scala","17"
"2009-03-01 00:00:00","sql","658"
"2009-04-01 00:00:00","ada","2"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","awk","14"
"2009-04-01 00:00:00","bash","67"
"2009-04-01 00:00:00","c","454"
"2009-04-01 00:00:00","c#","3302"
"2009-04-01 00:00:00","c++","1016"
"2009-04-01 00:00:00","clojure","5"
"2009-04-01 00:00:00","cobol","10"
"2009-04-01 00:00:00","curl","20"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","fortran","8"
"2009-04-01 00:00:00","groovy","30"
"2009-04-01 00:00:00","haskell","27"
"2009-04-01 00:00:00","java","1526"
"2009-04-01 00:00:00","javascript","1042"
"2009-04-01 00:00:00","matlab","32"
"2009-04-01 00:00:00","objective-c","356"
"2009-04-01 00:00:00","pascal","3"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","946"
"2009-04-01 00:00:00","prolog","9"
"2009-04-01 00:00:00","python","768"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","356"
"2009-04-01 00:00:00","scala","27"
"2009-04-01 00:00:00","sql","751"
"2009-05-01 00:00:00","ada","1"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","awk","10"
"2009-05-01 00:00:00","bash","99"
"2009-05-01 00:00:00","c","478"
"2009-05-01 00:00:00","c#","3546"
"2009-05-01 00:00:00","c++","1211"
"2009-05-01 00:00:00","clojure","5"
"2009-05-01 00:00:00","cobol","5"
"2009-05-01 00:00:00","curl","24"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","fortran","14"
"2009-05-01 00:00:00","groovy","33"
"2009-05-01 00:00:00","haskell","47"
"2009-05-01 00:00:00","java","1810"
"2009-05-01 00:00:00","javascript","1427"
"2009-05-01 00:00:00","matlab","42"
"2009-05-01 00:00:00","objective-c","500"
"2009-05-01 00:00:00","pascal","5"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1164"
"2009-05-01 00:00:00","prolog","4"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","400"
"2009-05-01 00:00:00","scala","12"
"2009-05-01 00:00:00","sql","843"
"2009-06-01 00:00:00","ada","2"
"2009-06-01 00:00:00","assembly","47"
"2009-06-01 00:00:00","awk","14"
"2009-06-01 00:00:00","bash","109"
"2009-06-01 00:00:00","basic","1"
"2009-06-01 00:00:00","c","499"
"2009-06-01 00:00:00","c#","3872"
"2009-06-01 00:00:00","c++","1248"
"2009-06-01 00:00:00","clojure","25"
"2009-06-01 00:00:00","cobol","6"
"2009-06-01 00:00:00","coffeescript","1"
"2009-06-01 00:00:00","curl","23"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","fortran","18"
"2009-06-01 00:00:00","groovy","44"
"2009-06-01 00:00:00","haskell","44"
"2009-06-01 00:00:00","java","2108"
"2009-06-01 00:00:00","javascript","1547"
"2009-06-01 00:00:00","matlab","43"
"2009-06-01 00:00:00","objective-c","490"
"2009-06-01 00:00:00","pascal","1"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1565"
"2009-06-01 00:00:00","prolog","3"
"2009-06-01 00:00:00","python","1040"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-06-01 00:00:00","scala","63"
"2009-06-01 00:00:00","sql","922"
"2009-06-01 00:00:00","typescript","1"
"2009-07-01 00:00:00","ada","2"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","awk","10"
"2009-07-01 00:00:00","bash","111"
"2009-07-01 00:00:00","c","537"
"2009-07-01 00:00:00","c#","4400"
"2009-07-01 00:00:00","c++","1464"
"2009-07-01 00:00:00","clojure","55"
"2009-07-01 00:00:00","curl","29"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","fortran","14"
"2009-07-01 00:00:00","groovy","36"
"2009-07-01 00:00:00","haskell","33"
"2009-07-01 00:00:00","java","2250"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","matlab","39"
"2009-07-01 00:00:00","objective-c","678"
"2009-07-01 00:00:00","pascal","4"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","php","1999"
"2009-07-01 00:00:00","prolog","4"
"2009-07-01 00:00:00","python","1157"
"2009-07-01 00:00:00","r","49"
"2009-07-01 00:00:00","ruby","498"
"2009-07-01 00:00:00","scala","59"
"2009-07-01 00:00:00","sql","1084"
"2009-08-01 00:00:00","ada","1"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","awk","17"
"2009-08-01 00:00:00","bash","113"
"2009-08-01 00:00:00","basic","1"
"2009-08-01 00:00:00","c","529"
"2009-08-01 00:00:00","c#","4440"
"2009-08-01 00:00:00","c++","1396"
"2009-08-01 00:00:00","clojure","29"
"2009-08-01 00:00:00","cobol","4"
"2009-08-01 00:00:00","curl","37"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","fortran","13"
"2009-08-01 00:00:00","groovy","52"
"2009-08-01 00:00:00","haskell","48"
"2009-08-01 00:00:00","java","2183"
"2009-08-01 00:00:00","javascript","1855"
"2009-08-01 00:00:00","matlab","34"
"2009-08-01 00:00:00","objective-c","697"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","php","2167"
"2009-08-01 00:00:00","prolog","5"
"2009-08-01 00:00:00","python","1131"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","scala","72"
"2009-08-01 00:00:00","sql","1030"
"2009-09-01 00:00:00","ada","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","awk","19"
"2009-09-01 00:00:00","bash","117"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4347"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","clojure","29"
"2009-09-01 00:00:00","cobol","6"
"2009-09-01 00:00:00","curl","46"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","fortran","6"
"2009-09-01 00:00:00","groovy","57"
"2009-09-01 00:00:00","haskell","48"
"2009-09-01 00:00:00","java","2256"
"2009-09-01 00:00:00","javascript","1755"
"2009-09-01 00:00:00","matlab","51"
"2009-09-01 00:00:00","objective-c","694"
"2009-09-01 00:00:00","pascal","5"
"2009-09-01 00:00:00","perl","247"
"2009-09-01 00:00:00","php","2240"
"2009-09-01 00:00:00","prolog","12"
"2009-09-01 00:00:00","python","1167"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
